"cellID","Region","District","Ward","WardID","Village","VillageID"
3415,"Mara","Serengeti","Ikoma",3,"Robanda",81
3416,"Mara","Serengeti","Ikoma",3,"Robanda",81
3417,"Mara","Serengeti","Ikoma",3,"Robanda",81
3418,"Mara","Serengeti","Ikoma",3,"Robanda",81
3419,"Mara","Serengeti","Ikoma",3,"Robanda",81
3420,"Mara","Serengeti","Ikoma",3,"Robanda",81
3421,"Mara","Serengeti","Ikoma",3,"Robanda",81
3422,"Mara","Serengeti","Ikoma",3,"Robanda",81
3423,"Mara","Serengeti","Ikoma",3,"Robanda",81
3424,"Mara","Serengeti","Ikoma",3,"Robanda",81
3425,"Mara","Serengeti","Ikoma",3,"Robanda",81
3426,"Mara","Serengeti","Ikoma",3,"Robanda",81
3427,"Mara","Serengeti","Ikoma",3,"Robanda",81
3428,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3429,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3430,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3431,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3432,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3433,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3434,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3435,"Mara","Serengeti","Issenye",4,"Iharara",13
3436,"Mara","Serengeti","Issenye",4,"Iharara",13
3437,"Mara","Serengeti","Issenye",4,"Iharara",13
3438,"Mara","Serengeti","Issenye",4,"Iharara",13
3439,"Mara","Serengeti","Issenye",4,"Iharara",13
3440,"Mara","Serengeti","Issenye",4,"Iharara",13
3441,"Mara","Serengeti","Issenye",4,"Iharara",13
3442,"Mara","Serengeti","Issenye",4,"Iharara",13
3443,"Mara","Serengeti","Issenye",4,"Iharara",13
3444,"Mara","Serengeti","Issenye",4,"Iharara",13
3445,"Mara","Serengeti","Issenye",4,"Singisi",84
3446,"Mara","Serengeti","Natta",18,"Motukeri",53
3447,"Mara","Serengeti","Natta",18,"Motukeri",53
3448,"Mara","Serengeti","Natta",18,"Motukeri",53
3449,"Mara","Serengeti","Natta",18,"Mbisso",46
3450,"Mara","Serengeti","Natta",18,"Makundusi",38
